#Frame          phi:2        psi:2
     551     -95.9096     104.9560
     552     -51.4172     150.4363
     553     -66.1830     -42.6113
     554     -71.2731     140.8456
     555     -94.7888      57.6860
     556     -55.6932     150.9229
     557     -69.6912     122.8324
     558     -71.6541     179.2045
     559    -144.5858      53.8970
     560     -65.8097     150.2256
     561     -60.4994     137.8898
     562    -122.0011     117.9748
     563     -68.1898     -40.4844
     564     -89.6746     -38.1812
     565     -49.3187     -24.1584
     566     -96.6714      48.7840
     567     -61.3006     113.6395
     568    -147.9558     179.1781
     569     -76.8760      -7.3162
     570     -82.2919     -19.8215
     571     -93.4188       0.1298
     572     -76.8473      75.5983
     573     -65.5568     129.5931
     574    -158.3611     152.3271
     575     -82.9470     162.7170
     576     -71.5148     154.4395
     577     -46.7731     145.4473
     578     -58.8556     134.6082
     579     -60.9811     -48.3162
     580     -45.7032     121.9536
     581     -50.1153     143.0663
     582     -70.8030     -13.8481
     583     -68.3053     -39.5566
     584     -91.5608     112.0841
     585     -91.0844     165.7319
     586    -151.9219     179.1522
     587     -79.5723     -12.6223
     588     -80.2965     161.8512
     589    -144.5858     100.0194
     590     -55.5019     140.8444
     591     -71.9334     147.9568
     592     -45.9485     140.9258
     593     -78.9038     117.9815
     594     -64.7239     -44.3069
     595     -58.4060     160.3028
     596     -78.0133     -17.0982
     597     179.7417     151.3377
     598     -65.1071     160.5962
     599     -67.6157     172.5410
     600     -49.5824     115.7107
     601     -55.3928     -31.4408
     602     -90.6317     111.2057
     603     -59.8669     -32.6944
     604     -57.8647     142.2125
     605     -58.8576     140.0740
     606     -86.1364      60.9667
     607    -160.0386     110.5990
     608     -69.5986      87.7488
     609     -81.4285     140.3218
     610     -69.3527     148.5238
     611     -61.8351     -59.7418
     612     -80.7325      65.3379
     613     -60.5457     138.0457
     614     -56.5043     124.8277
     615     -63.5827     138.9015
     616     -57.0820     139.5932
     617    -139.5090     150.2197
     618     -93.4923     113.3351
     619     -61.7714     129.0925
     620     -65.1707     144.4862
     621     -72.6794      -8.0767
     622    -179.2989     137.2786
     623    -138.0686     142.6569
     624     -80.3117     170.4051
     625    -146.6675      43.4891
     626     -69.0067     108.8372
     627     -55.1512     138.6193
     628     -49.7279     112.5747
     629     -69.9589     135.2587
     630     -44.4035     124.7197
     631    -155.6213     177.0722
     632     -87.6667     -19.6720
     633     -64.9826     -29.4555
     634     -63.8035     148.5196
     635     -46.5216     121.6414
     636     -59.1310     -20.3870
     637     -74.0213     -17.0061
     638     -87.8845      -1.3034
     639     -46.9152     -51.7918
     640     -85.9517     120.9749
     641     -62.0660     115.6688
     642     -86.0597      17.1782
     643     -75.3118     144.3906
     644    -103.1926     -28.9926
     645     -63.1211     125.7907
     646     -82.3892     109.3952
     647    -115.8017      59.0401
     648     -77.1724     -42.1052
     649     -81.1274     -11.2291
     650     -88.0285     -27.6564
     651     -84.2364      68.1465
     652    -135.6840     123.8515
     653    -167.8093     123.0981
     654     -69.9162     -39.6035
     655    -134.4472     110.4624
     656     -97.1441      19.8981
     657    -154.5733      55.0962
     658     -53.0992     123.0146
     659     -47.4125     -36.8821
     660    -155.2374     178.4603
     661     -58.2076     141.4010
     662     -41.5977     148.2880
     663     -74.3086     134.1818
     664     -78.9724     148.1518
     665     -48.7128     -23.2018
     666     -73.0068     -19.4595
     667     -54.7046     148.2105
     668     -81.7182      -1.3980
     669     -89.7051       4.4442
     670    -177.0365     146.2100
     671     -58.4297     157.1887
     672     -51.2369     144.5777
     673    -130.7102     -41.5389
     674     -85.5548      -3.4649
     675     -96.8016      -8.3809
     676     -61.5227     -38.6188
     677     -58.7764     152.4738
     678     -71.0469     -11.8108
     679     -59.7578     140.2230
     680     -60.3667     135.3254
     681     -53.5658     145.6959
     682    -137.1682      49.8491
     683     -67.2914     -35.3574
     684    -100.6514     104.6925
     685     -63.4302     152.4165
     686    -142.6251      96.3339
     687     -76.1783     -20.2967
     688     -64.1243      -4.3050
     689     -54.1543     147.1274
     690    -151.3574       5.2543
     691    -111.3786     143.0175
     692    -163.3457     149.1927
     693     -86.9736     150.8688
     694     -70.9842     -25.2849
     695     -70.3034     178.2812
     696     -55.4100     -28.7478
     697     -71.4180     178.1847
     698     -95.7052     113.8715
     699     -49.3046     133.4604
     700     -42.4924     151.8404
     701      51.8003      38.6463
     702      58.9617      39.6512
     703      48.1026      37.3186
     704      78.6315       2.3150
     705    -140.3254     152.2600
     706    -149.8979     141.6544
     707     -94.6525      -1.4563
     708     -41.8484     -34.8034
     709     -64.0155     -23.9432
     710     -88.9300      47.2899
     711    -147.8140     160.2357
     712     -79.5986     141.4729
     713    -155.5921     174.2910
     714     -56.8048     144.7485
     715     -49.4793     -36.6946
     716    -130.5020     158.4403
     717     -63.8946     160.4094
     718     -60.1066     153.6136
     719    -147.1484     138.3086
     720     -53.6548     -45.8508
     721     -34.8280     125.4027
     722     -53.6432     137.5270
     723     -73.3290     149.5672
     724     -83.4935     131.3130
     725     -76.8681     159.2194
     726     -64.4729     136.2983
     727    -142.2677     133.6387
     728     -79.5715       1.2182
     729     -91.7810     -24.6558
     730     -72.5765     143.2711
     731    -144.2622     132.0171
     732    -160.6805     166.0977
     733    -143.1146    -116.0903
